id;name;pref_name;description;total_distance;total_time;image
1;cuicui;contre;touriste extra efficace;27402.18;9710.51;pourpre selon
2;considérable conseil d’administration;secouriste ouille chut;maîtriser puisque égoïste;31546.17;28867.28;ah
3;de façon que;aggraver;parlementaire caractériser que;15458.15;20092.05;vu que du moment que à l'égard de
4;à travers;distribuer;tchou tchouu;651.76;17168.38;par emmener
5;davantage;comment;de façon que touchant signaler;20556.07;7878.52;adresser
6;lors de délégation au prix de;sans doute touriste;lier;7916.77;19020.05;chef
7;en bas de là-haut ainsi;volontiers;chez police;27671.79;20571.54;probablement
8;miam;pour même si;pêcher;30990.24;18544.29;croâ altruiste
9;présidence;vlan miaou;en decà de biathlète au prix de;13226.94;15559.89;conseil municipal durant prévaloir
10;clocher lors de;espérer;grrr;31714.37;4286.39;commencer
