id;latitude;longitude;name;description;address
1;12116.76;25191.88;immense espiègle sauf à;secours que;atchoum autant large
2;6463.21;18702.71;gigantesque;vers;bavarder commis de cuisine sans doute
3;4374.33;23732.24;vu que lunatique en dehors de;parce que âcre camarade;danser
4;24457.25;6102.76;pour;équipe;ainsi du fait que moyennant
5;23207.39;23093.36;simple;cocorico tellement jeune;naguère au point que bzzz
6;22627.82;15991.21;hé recommander;rose quelquefois;personnel professionnel bien que élargir
7;28830.53;6886.7;transmettre;vu que en dépit de;apparemment
8;23828.11;19522.36;jusque;quasi;étant donné que équipe de recherche loin
9;25486.22;14380.68;affable membre de l’équipe d’autant que;simple approximativement assez;près de concernant tant que
10;1890.87;12150;décharger indiquer contredire;percer chef du moment que;par pour que
