id;name;display_name;lat;lon;image
1;étant donné que;pour que tout à fait après que;24141.94;30716.22;population du Québec prononcer
2;où;résoudre;24603.22;26375.51;comment
3;groin groin;blablabla estimer;12926.53;11964.09;si bien que bzzz membre de l’équipe
4;attraper;apparemment chef;4445.42;29772.34;sauf à
5;corner;tellement;14182.54;14441.97;très hier trop
6;pas mal de crainte que;parce que pourvu que;8331.28;5585.47;broum
7;convaincre tellement;deviner;2234.65;31442.54;refroidir blême
8;même si diminuer hors de;propre;7993.56;306.11;de façon à ce que fort lorsque
9;gestionnaire;bzzz puisque bè;30090.23;10258.95;par rapport à dring amorphe
10;près atchoum corriger;en outre de totalement d’autant que;478.31;24917.03;vide en bas de par rapport à
